evocg_cg_history,evocg_hd_history,evocg_hdcg_history
75587,136049,211636
76488,137028,213516
76340,136660,213000
76193,136651,212844
76403,137032,213435
76477,137615,214092
76690,137783,214473
77209,131449,208658
77539,131783,209322
77487,131273,208760
77415,131914,209329
77728,132129,209857
77770,131999,209769
77493,131614,209107
78225,133902,212127
78512,134014,212526
78366,134019,212385
78552,133696,212248
78384,133806,212190
78487,133883,212370
78844,134188,213032
78844,137288,216132
78800,137076,215876
78909,137336,216245
78785,137741,216526
78944,137849,216793
78788,136846,215634
79005,137665,216670
79298,137799,217097
79079,137312,216391
79052,137681,216733
79217,137759,216976
79335,137686,217021
78983,137578,216561
79011,137824,216835
79344,137097,216441
79571,137188,216759
79326,137017,216343
79369,137145,216514
79455,137326,216781
79487,137456,216943
80204,140425,220629
80418,140251,220669
80274,140249,220523
80349,140498,220847
80408,140546,220954
80317,140614,220931
80267,140514,220781
80375,140541,220916
80271,140335,220606
80251,140077,220328
80188,139983,220171
80479,140312,220791
80393,140476,220869
80329,140246,220575
80458,140663,221121
80486,140670,221156
80424,140535,220959
80215,140272,220487
80225,140400,220625
80446,140458,220904
80388,140386,220774
80370,140346,220716
80445,140348,220793
80431,139893,220324
80365,140532,220897
80426,140636,221062
80573,140557,221130
80528,140595,221123
80438,140408,220846
80387,140440,220827
80445,140659,221104
80402,140619,221021
80657,140245,220902
80302,140293,220595
80484,140566,221050
80457,140474,220931
80439,140446,220885
80411,140374,220785
80327,140467,220794
80529,140370,220899
80570,140798,221368
80373,140397,220770
80371,140216,220587
80350,140814,221164
80507,140532,221039
80349,140720,221069
80509,140336,220845
80448,139705,220153
80621,140092,220713
80446,140121,220567
80485,140523,221008
80365,140507,220872
80549,140697,221246
80481,140494,220975
80451,140069,220520
80339,140344,220683
80506,141343,221849
80702,141274,221976
80742,141307,222049
