evohd_cg_history,evohd_hd_history,evohd_hdcg_history
72196,125349,197545
72370,125616,197986
72819,126135,198954
72741,125799,198540
73130,126639,199769
73814,135067,208881
74008,135235,209243
74086,135571,209657
74200,135762,209962
74053,135455,209508
74035,135257,209292
73574,134793,208367
78622,139154,217776
78717,139018,217735
78767,139221,217988
78811,139452,218263
78826,139454,218280
78690,139341,218031
78704,139329,218033
78769,139107,217876
78744,139708,218452
77909,143117,221026
77706,143206,220912
77641,143253,220894
77781,143171,220952
77837,143322,221159
77856,143274,221130
77668,143228,220896
77714,143242,220956
77653,143340,220993
77726,143253,220979
77763,143246,221009
77769,143266,221035
77685,143302,220987
77684,143276,220960
77750,143292,221042
77720,143276,220996
77999,143341,221340
77718,143411,221129
77776,143254,221030
77662,143390,221052
78943,143289,222232
79142,143336,222478
79103,143407,222510
78957,143256,222213
77808,143348,221156
77886,143307,221193
77899,143286,221185
78043,143533,221576
77977,143439,221416
78116,143489,221605
77753,143333,221086
77799,143553,221352
77875,143490,221365
77940,143513,221453
77883,143543,221426
77802,143439,221241
77856,143545,221401
78063,143426,221489
77952,143547,221499
77646,143460,221106
77922,143468,221390
77858,143487,221345
77992,143451,221443
77850,143412,221262
77772,143381,221153
77862,143387,221249
77779,143624,221403
77922,143510,221432
77800,143447,221247
77897,143485,221382
77803,143437,221240
77831,143407,221238
78112,143548,221660
77888,143462,221350
77999,143393,221392
77839,143492,221331
77689,143378,221067
77896,143499,221395
77788,143503,221291
77758,143491,221249
77861,143568,221429
77782,143460,221242
77822,143600,221422
77798,143419,221217
77967,143563,221530
78108,143520,221628
77924,143376,221300
77801,143538,221339
77991,143429,221420
77877,143588,221465
77765,143511,221276
77646,143512,221158
77900,143400,221300
77807,143439,221246
77614,143460,221074
77931,143508,221439
77586,143516,221102
77853,143577,221430
77804,143594,221398
