evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
77957,142664,220621
77866,142750,220616
79673,142585,222258
79708,142873,222581
79711,142781,222492
79843,142866,222709
79729,142846,222575
79829,142990,222819
79840,142791,222631
79840,142793,222633
79792,142927,222719
79770,142877,222647
79770,142876,222646
79805,142753,222558
79785,142785,222570
79761,142850,222611
79698,142867,222565
79712,142832,222544
80048,142627,222675
79696,142842,222538
79863,142861,222724
79769,142761,222530
79835,142795,222630
79715,142973,222688
79793,142757,222550
79821,142720,222541
79677,142759,222436
79766,142764,222530
80002,142525,222527
79822,142485,222307
79725,142788,222513
79855,142640,222495
79585,142734,222319
79709,142847,222556
79942,142654,222596
79691,142614,222305
79700,142864,222564
79733,142789,222522
79732,142767,222499
79788,142651,222439
79782,142753,222535
79628,142890,222518
79804,142735,222539
79875,142941,222816
79884,142729,222613
79832,142574,222406
79899,142663,222562
79922,142781,222703
79862,142802,222664
79851,142817,222668
79714,142851,222565
79834,142738,222572
79763,142790,222553
79760,142733,222493
79914,142591,222505
79630,142778,222408
79958,142713,222671
79745,142734,222479
79981,142692,222673
79712,142776,222488
79790,142766,222556
79689,142758,222447
79851,142818,222669
79702,142848,222550
79815,142851,222666
79796,142649,222445
79786,142848,222634
79861,142885,222746
79646,143135,222781
79823,142919,222742
79650,143017,222667
79886,143007,222893
79588,143127,222715
79795,142933,222728
79722,143121,222843
79797,143105,222902
79768,143073,222841
79674,143024,222698
79697,143019,222716
79667,143043,222710
79793,142901,222694
79837,143024,222861
79471,143090,222561
79672,143314,222986
79763,142885,222648
79537,143193,222730
79562,143061,222623
79835,142870,222705
79634,142799,222433
79763,143062,222825
79583,143080,222663
79695,142918,222613
79537,143018,222555
79587,143042,222629
79707,142915,222622
79641,143012,222653
79547,143001,222548
79738,143036,222774
79666,142919,222585
79631,143065,222696
